subject	relation	object	provenance	xp	redundancy
MI:0001	part_of	MI:0000	asserted	link	
MI:0002	part_of	MI:0000	asserted	link	
MI:0003	part_of	MI:0000	asserted	link	
MI:0004	OBO_REL:is_a	MI:0400	asserted	link	
MI:0004	OBO_REL:is_a	MI:0091	asserted	link	
MI:0004	OBO_REL:is_a	MI:0001	implied	link	
MI:0004	OBO_REL:is_a	MI:0045	implied	link	
MI:0004	OBO_REL:is_a	MI:0401	implied	link	
MI:0004	part_of	MI:0000	implied	link	
MI:0005	OBO_REL:is_a	MI:0810	asserted	link	
MI:0005	OBO_REL:is_a	MI:0659	implied	link	
MI:0005	OBO_REL:is_a	MI:0074	implied	link	
MI:0005	part_of	MI:0000	implied	link	
MI:0005	OBO_REL:is_a	MI:0003	implied	link	
MI:0006	OBO_REL:is_a	MI:0019	asserted	link	
MI:0006	OBO_REL:is_a	MI:0400	implied	link	
MI:0006	OBO_REL:is_a	MI:0091	implied	link	
MI:0006	OBO_REL:is_a	MI:0004	implied	link	
MI:0006	part_of	MI:0000	implied	link	
MI:0006	OBO_REL:is_a	MI:0401	implied	link	
MI:0006	OBO_REL:is_a	MI:0045	implied	link	
MI:0006	OBO_REL:is_a	MI:0001	implied	link	
MI:0007	OBO_REL:is_a	MI:0019	asserted	link	
MI:0007	OBO_REL:is_a	MI:0401	implied	link	
MI:0007	part_of	MI:0000	implied	link	
MI:0007	OBO_REL:is_a	MI:0004	implied	link	
MI:0007	OBO_REL:is_a	MI:0091	implied	link	
MI:0007	OBO_REL:is_a	MI:0400	implied	link	
MI:0007	OBO_REL:is_a	MI:0045	implied	link	
MI:0007	OBO_REL:is_a	MI:0001	implied	link	
MI:0008	OBO_REL:is_a	MI:0400	asserted	link	
MI:0008	OBO_REL:is_a	MI:0001	implied	link	
MI:0008	OBO_REL:is_a	MI:0045	implied	link	
MI:0008	OBO_REL:is_a	MI:0401	implied	link	
MI:0008	part_of	MI:0000	implied	link	
MI:0009	OBO_REL:is_a	MI:0054	asserted	link	
MI:0009	OBO_REL:is_a	MI:0034	asserted	link	
MI:0009	part_of	MI:0000	implied	link	
MI:0009	OBO_REL:is_a	MI:0045	implied	link	
MI:0009	OBO_REL:is_a	MI:0400	implied	link	
MI:0009	OBO_REL:is_a	MI:0051	implied	link	
MI:0009	OBO_REL:is_a	MI:0013	implied	link	
MI:0009	OBO_REL:is_a	MI:0001	implied	link	
MI:0009	OBO_REL:is_a	MI:0401	implied	link	
MI:0010	OBO_REL:is_a	MI:0228	asserted	link	
MI:0010	OBO_REL:is_a	MI:0045	implied	link	
MI:0010	OBO_REL:is_a	MI:0090	implied	link	
MI:0010	part_of	MI:0000	implied	link	
MI:0010	OBO_REL:is_a	MI:0001	implied	link	
MI:0011	OBO_REL:is_a	MI:0228	asserted	link	
MI:0011	OBO_REL:is_a	MI:0001	implied	link	
MI:0011	OBO_REL:is_a	MI:0090	implied	link	
MI:0011	part_of	MI:0000	implied	link	
MI:0011	OBO_REL:is_a	MI:0045	implied	link	
MI:0012	OBO_REL:is_a	MI:0051	asserted	link	
MI:0012	OBO_REL:is_a	MI:0045	implied	link	
MI:0012	OBO_REL:is_a	MI:0013	implied	link	
MI:0012	part_of	MI:0000	implied	link	
MI:0012	OBO_REL:is_a	MI:0001	implied	link	
MI:0013	OBO_REL:is_a	MI:0045	asserted	link	
MI:0013	OBO_REL:is_a	MI:0001	implied	link	
